,Song Title,Artist,Date Reached #1,Lyrics
0,Self-Destruction,Stop the Violence Movement,"March 11, 1989","[Intro: Malcolm X]
We all agree tonight—all of the speakers have agreed that America has a very serious problem
Not only does America have a very serious problem but our people have a very serious problem
America's problem is...

[Chorus]
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction

[KRS-One]
Well, today's topic, self destruction
It really ain't the rap audience that's bugging
It's one or two suckers, ignorant brothers
Trying to rob and steal from one another
You get caught in the mid
So to crush the stereotype here's what we did
We got ourselves together
So that you could unite and fight for what's right
Not negative 'cause the way we live is positive
We don't kill our relatives

[MC Delite]
Pop pop pop
One is shot, who's to blame?
Headlines, front page, and rap's the name
MC Delite here to state the bottom line
That black-on-black crime was way before our time

[Kool Moe Dee]
Took a brother's life with a knife as his wife
Cried 'cause he died a trifling death
When he left his very last breath
Was ""I slept so watch your step""
Back in the sixties our brothers and sisters were hanged
How could you gang-bang?
I never ever ran from the Ku Klux Klan
And I shouldn't have to run from a black man
'Cause that's...

[Chorus]
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction

(""Uno, dos, tres, cuatro..."")

[MC Lyte]
Funky fresh dressed to impress, ready to party
Money in your pocket, dying to move your body
To get inside you paid the whole ten dollars
Scotch taped with a razor blade taped to your collar
Leave the guns and the crack and the knives alone
MC Lyte's on the microphone
Bum rushing and pushing, snatching and taxing
I cram to understand why brothers don't be maxing
There's only one disco, they'll close one more
You ain't guarding the door, so what you got a gun for?
Do you rob the rich and give to the poor?
Yo Daddy-O, school em some more

[Daddy-O + Wise + both]
Straight from the mouth of Wise and Daddy-O
Do a crime, end up in jail and gotta go
'Cause you could do crime and get paid today
And tomorrow you're behind bars in the worst way
Far from your family, 'cause you're locked away
Now tell me, do you really think crime pays?
Scheming on taking what your brother had?
(You little sucker) you're talkin' all that jazz

[D-Nice]
It's time to stand together in a unity
'Cause if not then we're soon to be
Self-destroyed, unemployed
The rap race will be lost without a trace
Or a clue but what to do
Is stop the violence and kick the science
Down the road that we call eternity
Where knowledge is formed and you'll learn to be
Self-sufficient, independent
To teach to each is what rap intended
But society wants to invade
So do not walk this path they laid
It's...

[Chorus]
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction

(""D-Nice, break it down like this"")
(""Children grow and women produce
And men go work and some do stealing"")

[Chorus]
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction

[Ms. Melodie]
I'm Ms. Melodie and I'm a born again rebel
The violence in rap must cease and seckle
If we want to develop and grow to another level
We can't be guinea pigs for the devil
The enemy knows, they're no fools
