,title,artist,reached_number_one,lyrics
0,Hot Boyz,"Missy Elliott featuring Nas, Eve and Q-Tip","November 27, 1999","[Missy]
This is for my ghetto motherfuckers, uh

[Nas]
Uh, forty side felony
Felony, misdemeanor
The charge is murder
Escobar CBR bikes
I'm switching gears
Headlights, shine so bright
Bitches freeze like deers
Them fiends want that deep boy
Feds send in a decoy, pack that heat boy
Push ya where ya rest in peace boy
Get your mama's house shot up
Bodies all chopped up
When them bodies pop up, I ain't getting' locked up
My Bentley cruise the block, with the sun roof top
Hood rats jumpin' on my jock cause I blew up the spot
Crushin' your Benz, crushin' your Navigator system
My QB piece make y'all niggas tuck your shit in
It's Nas in your area, Queens 'bout to tear it up
Braveheart y'all scared of us, real niggas, they be us

[Missy & Lil' Mo]
What's your name?, cause I'm impressed
Can you treat me good, I won't settle for less
You a hot boy, a rock boy
A fun toy, tote a Glock boy
Where you live, is it by yourself?
Can I move with you, do you need some help?
I cook boy, I'll give you more
I'm a fly girl, and I like those

1 - [Missy & Lil' Mo]
Hot boyz
Baby you got what I want
See cause y'all be driving Lexus jeeps
And the Benz jeeps, and the Lincoln jeeps
Nothin' cheaper, got them Platinum Visa's
Hot boyz
Baby you got what I want
See cause y'all be driving' Jaguars
And the Bentley's, and the Rolls Royce
Playin' hardballs with them Platinum Visa's

[Missy & Lil' Mo]
Is that your car, the XK-8?
Are you riding alone, can I be your date?
Come get me, get me, don't diss me, don't trick me
Got some friends, can they come too?
Can you hook them up wit' some boyz like you
A hot boy, a rock boy, on top boy
And I like those

Repeat 1

[Eve]
Yo only take 'em thugged out
Slightly bugged out, fuck with his tongue out
Know the job ain't getting done, until the body getting drugged out
Hot boy, keep me right
Play your part and I'll keep it tight
Where else you gonna be in the middle of the night
But up in the sheets with me aiight
Gangsta, true to your gang, street master
You the one I need when there's beef, street blaster
Ain't afraid to stop a cat, plus pop a cat, huh
Soldier, cash money, rule your world
What's topping that?
Huh, S-4-3-0 keep me on my toes
Get a tingle in my spine, what spot? Only he knows
He's a hot boy, Missy sing it out and I'm gon' spit it
Ruff Ryders scream it loud, daddy is you with it
If your team can't handle my bitches then we gon' ride
Brickhouse stallions, keep thugs open wide, huh
'Illadelph's best E-V-E stay committed
Mess with many, but if he ain't the realer
I ain't with it, with it

[Q-Tip]
Yo, mami, what the deal?
Ain't no heat fuckin' hotter than the heat a nigga hold
I think you really should be told that I deal with long shafts
That keep a long blast (blast)
Now look at a nigga and peel off fast (come on)
Word you got your girlfriend
Word, she can get it too
Fuck it though, I'm honest yo
I'm saying though, let's play it through
Getting cinematic with it
Niggas if you got it, hit it
Fuck the dumbness
Hit it till its numbness

[Missy & Lil' Mo']
Hot boy
Baby you got what I want
Won't you really come and satisfy me
I be lovin' you like endlessly
(Everyday all day)
Hot boy
Baby you got what I want
Won't you really come and satisfy me"
1,Whistle While You Twurk,Ying Yang Twins,"April 1, 2000","Whistle while you twurk (whistle)
Go head and start and make that pussy fart and
Whistle while you twurk (twurk some)

HOOK:
Ying yang in this thang (ying yang) (x8)

(Kaine:)
Let me see ya make that pussy fart, good Lord
Make it shake like a salt shaker, too hard
Get it up 'till you can't ugh, no mo'
See I love when you hoes take it to tha floor
Baby bounce biggy bounce ugh, it's on you
Shorty you can twurk in your skirt, if you want to
See we came to keep it crunk for ya, all night
Put a dub in da club show me, what I like

(D-Roc:)
Freak bitch make money in da club
Them hoes like to take it off for a thug
You can't come wit nuthin' less than a dub
Or she lookin' at yo ass like a scrub
Them hoes like it when a niggas shoen love
And she'll show you what she really made of
I guarantee yo ass wouldn't get enough
Tell her pop that shit, drop that shit, ""What?""

Repeat chorus twice

(D-Roc:)
Where them hoes that's buying me a ticket
I thank they all dance at club nikki
Now where them hoes who be spittin' that game
I thank they all dance at tha blue flame
Where them hoes that be hard booty shakin'
I thank they all dance at tha foxxy lady

(Kaine:)
I know she a shakin' booty hoe no teaser
She ain't no sceaser when ya all fat pleaser
Now where them bitches that be quick to show them titties
I thank they all dance at tha magic city
I know some hoe that be quick to take over
You got tha green on your scene and strokers

(D-Roc:)
And whistle while you twurk, gotta make that money fo' sure
Got some nice looking tities, body look pretty
So dont be scared to twurk

(Kaine:)
Say them niggas in tha club wanna hate
Wanna touch her pussy and never wanna pay
I said shouty fuck that nigga do your thang
I see your crunk tiger stripe G- strang
It's bout that dollar bill then peppermint
See them hoes represent for their rent

(D-Roc:)
If you in a booty club and you get your money spent
And baby mama now she wonder where it went

Repeat chorus twice

(D-Roc:)
Some of these bitches be real, they hard knock
Once you get em crunk they start, they won't stop
Hoes get naked for cheese, they love that
Take tha baddest bitch in tha club, I fucked that
Some these bitches been crunk since first day
Some of these bitches in tha club, they don't play
Half these bitches who shake it, they turn gay
Niggas gone pay to see pussy, anyway (ahh, ahh)

(Kaine:)
Some of these niggas be walkin' tha thin line
Fuckin' wit' these hoes wit' no clothes and no mind
Baby girl out to get money she gone shine
Everyday of work she gone be there on time
Her pussy poppin' shouty be sweatin' like she noid
Kinda like tha way that thang beat like a heart
Turn around yeah that's it, good lord
Tryin' to do a Chinese split and make it fart

(D-Roc:)
(""Ying yang in this thang"" in the background at
The beginning of each line)
Ying Yang in this thang, from the A-T-eeL
Whistle while you twurk if you really real
In tha club smelling like some wood
In my neighbourhood
Girls get crunk in the piz ball
If you sit down, get up off tha wall
Males only speak, if the females flirt
If you get crunk, whistle while you twurk

Repeat chorus four times"
2,Wobble Wobble,504 Boyz,"April 15, 2000",
3,Country Grammar (Hot Shit),Nelly,"May 27, 2000","[Intro]
Hot Shit (Hot Shit)

[Chorus]
Mmmmm, I'm going down, down, baby, your street, in a Range Rover
(Come on!)
Street sweeper baby, cocked, ready to let it go
(Hot Shit)
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now
I'm going down, down, baby, your street, in a Range Rover
Street sweeper baby, cocked, ready to let it go
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now

[Verse 1]
Mmmmm, you can find me in St. Louis rolling on dubs
Smoking on dubs in clubs, blowing up like Cocoa Puffs
Sipping Bud', getting perved and getting dubbed
Daps and hugs, mean mugs and shoulder shrugs and it's
All because accumulated enough scratch just to
Navigate it, wood decorated on chrome and it's
Candy painted, fans fainting while I'm entertaining
Wild, ain't it? How me and money get acquainted
I hang with Hannibal Lecter (Hot shit!)
So feel me when I bring it
Sing it loud (What?), I'm from the Lou' and I'm proud
Run a mile for the 'cause, I'm righteous, above the law
Player my style's raw, I’m Born to Mack, like Todd Shaw
Forget the fame and the glamour, give me D's with a rubber hammer
My grammar be's Ebonics, gin, tonic, and chronic
Fuck Bionic, it's ironic, slamming niggas like Onyx
Lunatics till the day I die
And I run more game than the Bulls and Sonics

[Chorus]
I'm going down, down, baby, your street, in a Range Rover
(Come on!)
Street sweeper baby, cocked, ready to let it go
(Hot Shit)
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now
I'm going down, down, baby, your street, in a Range Rover
Street sweeper baby, cocked, ready to let it go
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now

[Verse 2]
Who say pretty boys can't be
Wild niggas, loud niggas, O.K. Corral niggas
Foul niggas, run in the club and bust in the crowd, nigga
""How nigga?""
Ask me again and it's going down, nigga
Now nigga, come to the circus and watch me clown, nigga
Pound niggas, what you be giving when I'm around nigga
Frown niggas, talking that shit when I leave the town, nigga
Say now, can you hoes come out to play now?
Hey, I'm ready to cut you up any day now
Play by my rules, boo, and you gon' stay high
May I answer your Third Question like A.I
Say hi, to my niggas left in the slamma
From St. Louis to Memphis, from Texas back up to Indiana
Chi-Town, K.C., Motown to Alabama
L.A., New York Yankee niggas, to Hotlanta
Louisiana, all my niggas with ""Country Grammar""
Smoking blunts in Savannah, blow thirty mil', like I'm Hammer

[Chorus]
I'm going down, down, baby, your street, in a Range Rover
(Come on!)
Street sweeper baby, cocked, ready to let it go
(Hot Shit)
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now
I'm going down, down, baby, your street, in a Range Rover
Street sweeper baby, cocked, ready to let it go
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now

[Verse 3]
Let's show these cats to make these
Millions so you niggas quit acting silly, mon
Kid quicker than Billy, mon, talking really and I need it mon
Flows, I kick 'em freely mon, especially off Remi, mon
Keys to my Beemer, mon, holler at Beenie Man
See me, mon, chiefin', rollin' deeper than any mon
Through Jennings mon, through U-City back up to Kingsland
With nice niggas, sheist niggas who snatch yo' life, niggas
Trife niggas who produce and sell the same beat twice, nigga
(Hot shit!) Ice, niggas, all over, close to never sober
From broke to having brokers, my price-range is Rover
Now I'm knocking like Jehovah; let me in now, let me in now
Bill Gates, Donald Trump, let me in now
Spend now, I got money to lend my friends now
We in now, candy Benz, Kenwood and 10's now
I win now (Woo!), fucking lesbian twins now
Seeing now, through the pen I make my ends now

[Chorus]
I'm going down, down, baby, your street, in a Range Rover
(Come on!)
Street sweeper baby, cocked, ready to let it go
(Hot Shit)
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now
I'm going down, down, baby, your street, in a Range Rover
Street sweeper baby, cocked, ready to let it go
Shimmy, shimmy, cocoa what, listen to it pound
Light it up and take a puff, pass it to me now"
4,Flamboyant,Big L,"June 24, 2000","[Intro]
Yeah, yeah! Big L, Corleone
My nigga C-Town, my big brother Big Lee holding it down
Flamboyant, baby, for life
We taking over, coming to a theater near you
Check it out, come on, check it

[Verse 1]
Make sure my mic is loud and my production is tight
Better watch me 'round your girl if you ain't fuckin' her right
You damn playa haters never want to see me blow
Flamboyant Entertainment CEO
Yo, the spotlight is mine, it ain't his no more
When Lee come home, niggas can't live no more
And I'm straight, keep a Harlem World mindstate
I never lounge where you find Jake
Suprise niggas like a blind date, L rhyme great
And I'mma increase the crime rate for old time's sake
Run with me and I'm a make you a star
When me and my crew hit the clubs, we go straight to the bar
Leave 'em empty, I cruise through Harlem in an M3
Never pay for parties, say my name and I'm in free
I'm on some 100-G car shit, superstar shit
Selling niggas that wet shit right out the jar shit
I'm dumb hot, I'll wreck you and your young flock
Keep the gun cock, represent one block
139, nigga, the Danger Zone
We quick to put a bullet in a stranger's dome
I'm known to kick a rough rhyme and rock much shine
Yo, I'm out, I done took up enough time

[Talking]
We out, no doubt
You know how we do
Flamboyant for life

[Refrain]
Big L, Corleone
A smooth kid that'll run up in your baby mother
Big L, for real
Corleone is too advanced for y'all
Big L, I'm a pimped-out nigga for real
Big L, Corleone is too advanced for y'all

[Verse 2]
Yo, it's Corleone and Queen's Most
We bust 'til your whole team ghost
Everywhere we go, we must bring toast
Forever poppin' the chrome, always droppin' a poem
I can write it or recite it off the top of the dome
However you want it is
How I'm gonna give it to you, Big L style
They brought it back to the streets ‘cause that shit sell now
So pal, back up a bit, give me some elbow space
I represent Harlem World, not Melrose Place
So I'ma lace the jewels up with nice baguettes
Flamboyent is the label that writes the checks
Y'all niggas better stop fronting ‘cause I might get vexed
And I'ma run up on y'all and slice yours necks
With the machette, pockets heavy
Slang more cane than Eddie; I represent uno tres nueve
Time is money, so I stay late, I'm quick to slide a playmate
Bust off like a tre-eight then vacate

[Refrain]"
5,Callin' Me,Lil Zane featuring 112,"July 15, 2000","[Intro: Lil Zane & (Slim)]
I live the life of a celebrity
A made nigga way bigger than them other cats you love to see

Lil Zane
Can I talk to you for a minute? (Yeah, yeah)
It's like I been doin' a lot of interviews
Just people be callin 'my name everywhere, ""Hey, Zane!""
(So crazy, life's so, crazy)
Come on

[Verse 1: Lil Zane & (Slim)]
I live the life of a celebrity
A made nigga way bigger than them other cats you love to see
I'm getting paid like I'm supposed to
My homies call me on my mobile wanna hang we still close too
I switched positions with them po’ cats, I write raps
Make millions like that, I like that
And I never was a rich man
A rubber band for a wrist band
Got dough and had to switch plans
Drama still don't stop
The freeway, getting chased by some bad bitches
Wanting autographed pictures (Ooh)
They want my name tattooed on them
Thinkin' for a minute, hit that ass, make a move on 'em
Hey! Hennessy with the chardonnay, mix it
I put the trees in the Garcay, twist it (Whoa, yeah)
A true player smoking purple haze
Two shots in the air for my true thugs out there

[Chorus: Q Parker & (Slim)]
This life I live of mine (Oh yeah)
This life is crazy (So crazy)
I waste no time at all (Crazy)
They won't stop calling me (Calling me)
This life I live of mine
This life is crazy (So crazy)
I waste no time at all
They won't stop calling me
Calling me, calling me, calling me (Hey Lil' Zane!), say my name
Calling me, calling me, calling me (Hey Lil' Zane!), say my name

[Verse 2: Lil Zane]
Let me explain what the game is like
I did a show in California, had to be in Las Vegas the same night
Me and 112 on the same flight, getting tired
It ain't easy being worldwide
(Worldwide, worldwide, worldwide)
I seen murder come with fame in this rap game
Gotta stay strapped if you rap so I pack thangs
All my niggas pack thangs, and plus we love to ball
Don't want no problem with you, homie, I mean none at all
And to my rich cats with them big faced bills in the air
My po' cats sell more sex to you there
Love green millionaires, been all around the world
Turned the squares into true players
Cheap watches turned to Cartiers, locals turned to gators
Point 3's turn to 5 C's all these car keys
Jump in the Benz, hit The Shark Bar
You know they love to see a hot star

[Chorus: Q Parker & (Slim)]
(This life I live, oh)
This life I live of mine (Yeah)
This life is crazy (So crazy)
I waste no time at all (So crazy)
They won't stop calling me (Calling me)
This life I live of mine (Calling me)
This life is crazy (Oh)
I waste no time at all
They won't stop calling me
Calling me, calling me, calling me (Hey Lil' Zane!), say my name
Calling me, calling me, calling me (Hey Lil' Zane!), say my name

[Verse 3: Lil Zane]
And for my dogs I ain't seen in awhile
I still got love for y'all ain't got a chance to return your call
I'm in Chicago, I'm getting paid
Man, bigger figgas everywhere that I go
I'm still hearing about drama poppin' in the hood
Heard that you niggas doing good and I like that
Irv said niggas got the block locked
He tell me K and Big Chris riding drop tops
Flossin', I'm getting letters, hard to write back
Put a fly picture in the mail, hope they like that
Prayin' that the fame don't kill us all
The magazines to the big screen
It ain't easy as the shit seems
Throwin' up my deuces as a pass by
Showing love to the south side, all the players outside
And we gon' spend G's tonight
Hotel's on me, shit's free tonight
C'mon!

[Chorus: Q Parker & (Slim)]
This life I live of mine (Yeah)
This life is crazy (Oh, so crazy)
I waste no time at all
They won't stop calling me
This life I live of mine
This life is crazy
I waste no time at all
They won't stop calling me
Calling me, calling me, calling me (Hey Lil' Zane!), say my name
Calling me, calling me, calling me (Hey Lil' Zane!), say my name (Crazy)

This life I live of mine (Crazy)
This life is crazy (Oh)
I waste no time at all
They won't stop calling me
This life I live of mine
This life is crazy
I waste no time at all
They won't stop calling me
Calling me, calling me, calling me (Hey Lil' Zane!), say my name
Calling me, calling me, calling me (Hey Lil' Zane!), say my name

This life I live of mine
This life is crazy
I waste no time at all
They won't stop calling me

[Outro]
1, 2, 1, 2
It's going down, baby
Mistafiss and Diggie Doms on the track saying
It's a worldwide thang
Lil Z, 2000
Young World: The Future
It's not a game"
6,Bounce with Me,Lil' Bow Wow featuring Xscape,"August 19, 2000","Featuring JD & Xscape
[JD](Lil Bow Wow)
Uh-huh, yo
(Oh, oh)
Uh-huh, yo
(Uh-huh, oh, oh)
Uh-huh, yo
(Bounce, bounce)
See around here
(Uh-huh, uh, huh-uh)
I make things that make y'all bounce
Ya know?
Heh, ya know what I mean?
(Yeah, yeah)
Left to right, right to left
(Uh-huh, uh-huh)
It's So So Def
(Yeah uh)
And uh it's going down
Ya know what I mean?
(Yeah)
My man Bow Wow
(Bow Wow, yeah hear me now)
Yeah ya heard?
(Check it out)
Let's go! Let's go! Let's go!
(Peep game, let's go)
[Lil Bow Wow]
Around here we pop them collars
Around here we get them dollars
Every girl I see that look right
A nigga like me just gotta holla
This kid here all about stackin' up
Got big head but we can back it up
Long cause everybody get crunk
When we drop in the club starts acting up
I represent the S-O-S-O, D-E-F-M-O-B
That's me, JD, Da Brat, and JE
So please believe
What I do ain't never been done
Ohio is where I'm from
I heard what you said
And I saw what you do
And y'all playas really don't want none

From the day to the night, I ROCK
Say what you like, NEVER NOT
Stayin' alive, living the life
Gots to keep it hot
Shotgun in the drop
Riding good, twenties, TVs, leather and wood
Poppin', watching Big Momma
Holdin' it down like a playa should
Sing-a-long now!
[Xscape]
All I wanna do is see ya
Bounce with me, bounce with me
Grab a partner hit the floor
Bounce with me, bounce with me
Some clap, clap others stomp
But around here we get it crunk when ya
Bounce with me, bounce with me
All I wanna do is see ya
Bounce with me, bounce with me
Grab a partner hit the floor
Bounce with me, bounce with me
Some clap, clap others stomp"
7,Move Somethin',Talib Kweli and Hi-Tek (Reflection Eternal),"October 28, 2000",
8,It's OK,Slimm Calhoun featuring André 3000,"November 4, 2000","[Hook]
All these lonely girls wanna fuck...It's OK
That's alright girl, that's ok
That's alright girl, that's ok
Keep callin' me and pagin' me and blowin' me up...It's OK
That's alright girl, that's ok
That's alright girl, that's ok

[Slimm]
My game, slicker than slow tongue
Get yo' main ho sprung
Chokin' on my blowgun
She swallowed all my bubble gum
Said it was so yum yum
All off in her tum tum
Playboy you stay dumb dumb
Now what? Uh huh
Last night, I was in them guts
Uh huh
A young playa cut yo' what?
Uh huh
She was tryin' to get a nut
Uh huh
And we gon' meet back at the hut
Uh huh
Come on

[Hook]

[Slimm]
A-town, late nights
I'm off in 112, posted up as usual downstairs
With a couple of clydesdales
Sippin zinfandel
Got a sack of good, take a whiff, inhale
Blaze up, hate to ball and bail
Got some late cut, she sure now how to shake her tail
The way I hit it, make her wanna break up
And leave her man, make up
And cheat again, caked up
Lay low, Comfort Inn, tucked her in
Next week she said she'll bring a friend
Come on

[Hook]

[Andre]
She said I love my man, man man man
We got our ups and downs and I'll get lonely and, and and and
Wanna move move to someone who might understand, stand stand stand
How to make a girl feel like Alice in Wonderland...wonderland...wandered in
Wonderin'...if she can home with guilt on her mind
Really all she truly wants to know is that she still fine
After day you met her, better tell her, 'fore another feller
Pet her kitten, sittin' sittin', chittin' chittin', spittin' spittin', hittin' hittin'

[Hook]"
9,Souljas,Master P,"November 18, 2000","[Master P]
You in the ghetto.. and you ain't got no hustlin skills?
GET DOWN AND GIVE ME TEN PRIVATE!
(Where y'all at? Where y'all at? Where y'all at? Where y'all at?)

[Chorus: Master P - army drill style]
I don't know what you've been told
(I don't know what you've been told)
But No Limit Soldiers came to rock'n'roll
(But No Limit Soldiers came to rock'n'roll)
Where are all my whodis at?
(Where are all my whodis at?)
From the North to the South to the East to the West
(From the North to the South to the East to the West)
Thugged out (one two) what we bout? (Knockin boots)
Shoutin it out (N.. O.. L.. I.. M-I-T!)

[Master P]
UNNNNNNNNNGHHHHHHH!
See I'm a thug nigga, and I was - born to die
I hang with drug dealers, that's - ready to ride
We got BEEF nigga, then we - ready for war
I can't SLEEP nigga til I - have my enemies heart
I'm Uptown on the blocks with the bricks ba-bayyy
Fiends roll up and get fixed ba-bayyy
Fifties and doves or the bic ba-bayyy
Smoke weed with my nigga but don't trick ba-bayyy
Now if you step to one of my niggas, then you steppin to me
I heard you famous cat, but you don't mean shit to me
I'm out that C-P-3 and I'm a soulja for life
And all my real niggas wild out from left to the right

[Chorus]

[Master P]
(What? What?) Now how the war WAS WON (HUH) on, blocks in the hood
(HUH) We got enemies (WHAT) then it's, Glocks we pulled
In God we trust nigga; I ain't got no friends (Ya heard?)
Souljarettes, they love, money and ends
You need some work?  Meet me in the bricks nigga
You come short?  I'ma wet your shirt nigga
It's like Vietnam on the ghetto in these streets
You die how you live, the strong eat the weak
Red and blue rags for the souljas that be bangin
And warriors on the wall for the souljas left hangin
Twenty-one gun salute, for the souls on the street
And the souljas up in heaven, may you all rest in peace (Ya heard me?)
UNNNNNNGGGGGH!

[Chorus]

[Master P]
Them Down South souljas they be ready to ride
And we can take it outside if you ready to ride
Them Midwest souljas they be ready to ride
And we can take it outside if you ready to ride
Them East Coast souljas they ain't ready to ride
And we can take it outside if you ready to ride
Them West Coast souljas they be ready to ride
And we can take it outside if you ready to ride
Don't start no shit it won't be no shit
Let me tell you punk bitches who you fuckin wit
Don't start no shit it won't be no shit
THIS NO LIMIT ARMY'S WHO YOU FUCKIN WIT!

Wild out.. wild out.. No Limit is in and y'all out
Wild out.. wild out.. so y'all haters keep our name
Out y'all motherfuckin mouth, hahah you heard me?
Ride ride niggas (ride ride) Lah lah
(ALL THE WAY TO THE MOTHERFUCKIN TOP OF THE CHARTS YA HEARD ME?)
DJ's.. hut one, hut two.. hut one, hut two
Hut one, hut two..
DJ cut the fuckin lights off cause I'm through!"
