,words,counts
0,get,1025
1,like,749
2,know,473
3,go,397
4,boy,348
5,yes,287
6,make,278
7,see,273
8,come,268
9,love,253
10,back,245
11,na,243
12,say,235
13,let,227
14,verse,226
15,girl,222
16,baby,210
17,chorus,207
18,one,203
19,right,193
20,hot,188
21,call,188
22,take,185
23,good,180
24,oh,173
25,give,170
26,wan,170
27,shit,169
28,life,167
29,way,166
30,tell,164
31,time,161
32,lil,160
33,want,158
34,gon,156
35,nigra,155
36,look,155
37,hey,141
38,niggas,139
39,well,137
40,da,134
41,man,133
42,think,131
43,move,127
44,-PRON-,125
45,keep,120
46,cause,118
47,home,117
48,fuck,116
49,never,115
50,need,114
51,put,113
52,us,112
53,rock,111
54,yo,108
55,thing,108
56,hit,107
57,feel,107
58,watch,106
59,big,101
60,much,100
61,uh,99
62,money,99
63,bitch,99
64,party,98
65,low,98
66,live,92
67,ta,92
68,hook,91
69,try,91
70,fea,86
71,pop,84
72,stop,84
73,show,82
74,ass,82
75,drop,82
76,leave,82
77,ballin,80
78,slow,79
79,little,77
80,club,77
81,soulja,77
82,even,77
83,bout,76
84,mean,76
85,damn,76
86,something,76
87,around,75
88,hear,73
89,wow,73
90,game,71
91,bite,71
92,new,70
93,ever,70
94,til,68
95,work,67
96,nothing,66
97,roll,66
98,talk,66
99,head,65
100,ride,64
101,break,64
102,skeet,64
103,still,63
104,day,62
105,run,62
106,mine,62
107,ti,62
108,real,61
109,find,61
110,everybody,61
111,song,61
112,top,60
113,play,60
114,two,60
115,bow,60
116,city,59
117,away,59
118,wit,58
119,hold,58
120,intro,58
121,every,58
122,crank,57
123,long,56
124,start,56
125,kiss,56
126,world,55
127,ho,55
128,ask,54
129,star,53
130,west,53
131,shawty,53
132,stay,52
133,walk,52
134,phone,52
135,miss,51
136,night,51
137,dat,51
138,would,50
139,dead,50
140,motion,50
141,ooh,49
142,shake,48
143,dance,48
144,light,48
145,old,48
146,ohoh,48
147,doe,47
148,short,47
149,project,47
150,fly,46
151,ah,46
152,crazy,46
153,name,45
154,street,45
155,young,45
156,lean,45
157,g,44
158,turn,44
159,bring,44
160,stand,44
161,hand,44
162,ey,44
163,pay,43
164,okay,43
165,tonight,43
166,next,43
167,kanye,43
168,feat,43
169,lady,42
170,really,40
171,hard,40
172,bounce,40
173,uhhuh,40
174,floor,39
175,sit,39
176,ama,39
177,grill,39
178,car,38
179,mind,38
180,everything,38
181,lick,38
182,hood,37
183,ready,37
184,may,37
185,newly,37
186,yuuuuuuu,37
187,thug,36
188,twist,36
189,meet,36
190,de,36
191,nobody,36
192,yyyy,36
193,block,35
194,buy,35
195,clothe,35
196,tip,35
197,pitch,34
198,friend,34
199,smoke,34
200,rap,34
201,bad,34
202,another,34
203,pull,34
204,bridge,34
205,hippie,34
206,vs,34
207,side,33
208,daddy,33
209,hate,33
210,touch,33
211,beat,33
212,ball,33
213,act,33
214,round,33
215,kill,33
216,throw,33
217,jackson,33
218,cent,33
219,jump,32
220,high,32
221,york,32
222,whole,32
223,—,32
224,catch,32
225,mane,32
226,miya,32
227,bottle,31
228,white,31
229,black,31
230,ie,31
231,lock,30
232,late,30
233,thurr,30
234,x,29
235,face,29
236,fine,29
237,flo,29
238,shine,28
239,blow,28
240,huh,28
241,sure,28
242,wall,28
243,listen,28
244,pass,28
245,ice,28
246,outro,28
247,ay,28
248,door,28
249,road,28
250,use,28
251,mama,27
252,magic,27
253,spend,27
254,die,27
255,forever,27
256,front,27
257,lie,27
258,mouth,27
259,change,27
260,wrong,27
261,whatever,27
262,hurt,27
263,drive,26
264,blue,26
265,dollar,26
266,always,26
267,hope,26
268,con,26
269,believe,26
270,chick,26
271,body,25
272,four,25
273,kid,25
274,air,25
275,dog,25
276,north,25
277,three,25
278,ludacris,25
279,wayne,25
280,﻿1,24
281,sweat,24
282,hang,24
283,p,24
284,step,24
285,hell,24
286,eye,24
287,lt,24
288,u,24
289,mofuckas,24
290,fast,23
291,nice,23
292,sex,23
293,east,23
294,dogg,23
295,cry,23
296,romeo,23
297,somebody,23
298,lollipop,23
299,spot,22
300,trunk,22
301,question,22
302,check,22
303,place,22
304,stack,22
305,god,22
306,year,22
307,swing,22
308,trip,22
309,pimp,22
310,shop,22
311,joe,22
312,rihanna,22
313,pant,22
314,drink,22
315,whattcha,22
316,house,21
317,shoot,21
318,though,21
319,people,21
320,holly,21
321,et,21
322,cold,21
323,dirty,21
324,ms,21
325,lose,21
326,carolina,21
327,fresh,21
328,michael,21
329,fox,21
330,bottom,21
331,switch,20
332,pack,20
333,key,20
334,close,20
335,straight,20
336,zone,20
337,outside,20
338,main,20
339,ns,20
340,yay,20
341,woman,20
342,happen,20
343,full,20
344,fire,20
345,pill,20
346,pile,20
347,smile,20
348,er,20
349,park,20
350,force,20
351,true,19
352,plus,19
353,mai,19
354,enough,19
355,please,19
356,brown,19
357,million,19
358,‘,19
359,couple,19
360,en,19
361,six,19
362,wait,19
363,mad,19
364,fall,19
365,talkin,19
366,chain,19
367,thick,19
368,gold,19
369,justin,19
370,mall,19
371,deep,18
372,queen,18
373,cat,18
374,heart,18
375,cut,18
376,kick,18
377,sell,18
378,lot,18
379,strap,18
380,south,18
381,soul,18
382,cup,18
383,together,18
384,raise,18
385,stick,18
386,peter,18
387,tpain,18
388,today,18
389,paul,18
390,set,18
391,maybe,18
392,runaway,18
393,heat,17
394,scare,17
395,rule,17
396,team,17
397,pussy,17
398,dub,17
399,candy,17
400,style,17
401,plan,17
402,pain,17
403,coast,17
404,haha,17
405,jeans,17
406,flip,17
407,ha,17
408,nod,17
409,window,17
410,sorry,17
411,bag,17
412,r,17
413,eminem,17
414,kelly,17
415,twice,16
416,line,16
417,shimmy,16
418,haters,16
419,chance,16
420,comma,16
421,dream,16
422,snoop,16
423,paper,16
424,king,16
425,crib,16
426,motherfucker,16
427,arm,16
428,diamond,16
429,drake,16
430,jet,16
431,hip,16
432,w,16
433,ch,16
434,…,16
435,matt,16
436,esrever,16
437,dna,16
438,gniht,16
439,ym,16
440,sup,16
441,onon,16
442,travel,16
443,rider,15
444,girlfriend,15
445,town,15
446,playa,15
447,gun,15
448,slim,15
449,celebrity,15
450,dough,15
451,problem,15
452,sleep,15
453,wee,15
454,eight,15
455,without,15
456,daughter,15
457,guess,15
458,fee,15
459,count,15
460,dem,15
461,ire,15
462,sock,15
463,fun,14
464,drug,14
465,part,14
466,tight,14
467,mess,14
468,tha,14
469,fat,14
470,quick,14
471,naked,14
472,since,14
473,wood,14
474,range,14
475,puff,14
476,shoulder,14
477,player,14
478,bust,14
479,boo,14
480,produce,14
481,woo,14
482,l,14
483,brother,14
484,minute,14
485,picture,14
486,purple,14
487,waste,14
488,ir,14
489,z,14
490,clap,14
491,red,14
492,bang,14
493,worry,14
494,tryna,14
495,cool,14
496,buck,14
497,summer,14
498,mr,14
499,heartless,14
500,jon,14
501,independent,14
502,timberlake,14
503,rain,14
504,william,14
505,super,14
506,clean,14
507,cop,14
508,search,14
509,crawl,14
510,overnight,14
511,jeezy,14
512,b,13
513,piece,13
514,cook,13
515,gangsta,13
516,toe,13
517,scream,13
518,half,13
519,pound,13
520,end,13
521,alma,13
522,bar,13
523,alright,13
524,someone,13
525,brick,13
526,shut,13
527,shoe,13
528,welcome,13
529,andé,13
530,school,13
531,nine,13
532,happy,13
533,dawn,13
534,music,13
535,rowland,13
536,ching,13
537,link,13
538,bend,13
539,care,13
540,clip,13
541,goddamn,13
542,whip,13
543,benz,12
544,job,12
545,deal,12
546,everyday,12
547,yang,12
548,gh,12
549,rover,12
550,forget,12
551,win,12
552,lee,12
553,doi,12
554,chris,12
555,addict,12
556,burn,12
557,son,12
558,fight,12
559,story,12
560,dick,12
561,prechorus,12
562,somewhere,12
563,compare,12
564,yellow,12
565,fit,12
566,major,12
567,hop,12
568,ne,12
569,bet,12
570,survivor,12
571,juicy,12
572,far,12
573,store,12
574,jamie,12
575,neyo,12
576,whooooooooa,12
577,superman,12
578,treat,11
579,help,11
580,alone,11
581,date,11
582,spit,11
583,turk,11
584,green,11
585,pretty,11
586,represent,11
587,suck,11
588,fame,11
589,wet,11
590,must,11
591,suppose,11
592,rich,11
593,point,11
594,last,11
595,understand,11
596,fore,11
597,shirt,11
598,eat,11
599,motherfuckin,11
600,inside,11
601,figure,11
602,nose,11
603,crack,11
604,apologize,11
605,ill,11
606,j,11
607,five,11
608,wife,11
609,numb,11
610,dope,11
611,naughty,11
612,jay,11
613,family,11
614,alicia,11
615,yea,11
616,pump,11
617,bos,11
618,john,11
619,grand,11
620,relationship,11
621,already,11
622,sky,11
623,ttttotally,11
624,duuuude,11
625,shaaaaaawty,11
626,gear,10
627,else,10
628,word,10
629,thank,10
630,bill,10
631,cap,10
632,wild,10
633,mon,10
634,elbow,10
635,def,10
636,grab,10
637,swallow,10
638,n,10
639,hh,10
640,midwest,10
641,spin,10
642,pharoahe,10
643,respect,10
644,trap,10
645,sound,10
646,trillion,10
647,special,10
648,record,10
649,clique,10
650,fur,10
651,worth,10
652,ja,10
653,maker,10
654,pharrell,10
655,bruno,10
656,kim,10
657,static,10
658,sean,10
659,sexy,10
660,bot,10
661,un,10
662,imagine,10
663,pair,10
664,cadillac,10
665,hump,10
666,luther,10
667,definitely,10
668,ughh,10
669,issue,10
670,lovely,10
671,repeat,9
672,middle,9
673,single,9
674,sing,9
675,loud,9
676,open,9
677,freak,9
678,strong,9
679,kinda,9
680,smell,9
681,cocoa,9
682,st,9
683,flow,9
684,free,9
685,dumb,9
686,refrain,9
687,pocket,9
688,track,9
689,trust,9
690,grind,9
691,cross,9
692,hill,9
693,size,9
694,nate,9
695,pride,9
696,reach,9
697,wish,9
698,singe,9
699,butt,9
700,hair,9
701,room,9
702,row,9
703,bark,9
704,chip,9
705,ryan,9
706,foot,9
707,cute,9
708,wear,9
709,owner,9
710,guy,9
711,chill,9
712,pick,9
713,taste,9
714,sport,9
715,sir,9
716,build,9
717,martin,9
718,action,9
719,fool,9
720,ring,9
721,lem,9
722,robbie,9
723,david,9
724,fettes,9
725,apple,9
726,perry,9
727,beautiful,9
728,wherever,9
729,james,9
730,dude,9
731,cake,9
732,lip,9
733,murphy,9
734,jewelry,9
735,focus,9
736,brush,9
737,bless,9
738,steady,9
739,rockstar,9
740,mo,8
741,trick,8
742,afraid,8
743,soldier,8
744,many,8
745,till,8
746,whistle,8
747,ying,8
748,lord,8
749,droc,8
750,guarantee,8
751,booty,8
752,baddest,8
753,sleeper,8
754,hug,8
755,twin,8
756,mic,8
757,crow,8
758,doubt,8
759,write,8
760,neck,8
761,drama,8
762,easy,8
763,feature,8
764,cheat,8
765,war,8
766,type,8
767,seat,8
768,mom,8
769,birthday,8
770,rikrok,8
771,camera,8
772,hungry,8
773,match,8
774,water,8
775,helicopter,8
776,uhuh,8
777,macklemore,8
778,lewis,8
779,jonel,8
780,stress,8
781,wheel,8
782,rub,8
783,ad,8
784,gt,8
785,ark,8
786,guetta,8
787,nd,8
788,liebe,8
789,seven,8
790,killer,8
791,tomorrow,8
792,wi,8
793,color,8
794,anywhere,8
795,stompin,8
796,bub,8
797,fancy,8
798,bank,8
799,dark,8
800,rush,8
801,term,8
802,tweak,8
803,skeetskeet,8
804,mothafucka,8
805,dro,8
806,digger,8
807,westside,8
808,yung,8
809,lowlowlowlowlowlowlowlow,8
810,mmm,8
811,hee,8
812,hu,8
813,sammie,8
814,heyyy,8
815,chop,7
816,master,7
817,cash,7
818,flame,7
819,stripe,7
820,wonder,7
821,knock,7
822,hammer,7
823,la,7
824,blunt,7
825,harlem,7
826,band,7
827,none,7
828,c,7
829,seem,7
830,huhuh,7
